update,policy_loss,value_loss,entropy,imitation_loss,total_loss,batch_size,update_count,rollout_seconds,update_seconds,transitions_per_second
1,-0.018697944870736036,2.727224678247391,2.529052641656664,0.9162383096085654,1.5028715295096238,2049.0,1.0,,,
2,0.032637181096813746,0.06520147812423399,2.53374711672465,0.9229635000228882,0.2244931525654263,2049.0,2.0,,,
3,-0.0798174620916446,3.9463454705999337,2.536857088406881,0.9329752839273877,2.05458176198105,2049.0,3.0,,,
4,-0.06213116948007761,3.3249649178081504,2.5375125077035694,0.9232859330044852,1.7596333362162113,2049.0,4.0,,,
5,-0.017990821429217856,0.8547195231335031,2.5443168679873147,0.9387247678306367,0.5716707284251848,2049.0,5.0,,,
6,0.07670534849684271,0.11432370209755997,2.5412064525816174,0.9222595029407077,0.2929070395314031,2049.0,6.0,,,
7,-0.007956809726440243,0.8331031822108597,2.535298857423994,0.938203439116478,0.5708824855585893,2049.0,7.0,,,
8,0.13416353164292458,1.7359726383009628,2.5359682771894665,0.9206104046768613,1.16091224965122,2049.0,8.0,,,
9,0.024459350543717544,0.07857403915032693,2.539998001522488,0.9203361223141352,0.22241361935933432,2049.0,9.0,,,
10,-0.026887277587472152,0.8381487717043556,2.543649593989054,0.9000789572795233,0.5467664144105382,2049.0,10.0,,,
11,-0.00674551363206572,2.3008989167606666,2.539795378843943,0.9113860643572278,1.3005832092215617,2049.0,11.0,,,
12,-0.08866530941385362,0.0859219924507973,2.54034823179245,0.9043141421344545,0.10975503880116674,2049.0,12.0,,,
13,0.22268135687853727,2.507500065024942,2.5343930456373425,0.9105019271373749,1.6331878639757633,2049.0,13.0,,,
14,-0.017122001846372668,0.05282119571024345,2.5347505145602756,0.8819213095638487,0.16032535727653238,2049.0,14.0,,,
15,0.016247065336857405,0.7879386453423649,2.5401687026023865,0.9206458545393414,0.5689438742895921,2049.0,15.0,,,
16,0.024852275641428098,0.10238219145685434,2.549018985695309,0.9176902125279108,0.23409122932288381,2049.0,16.0,,,
17,0.0027131220946709314,1.5618734759114483,2.555202841758728,0.9353589514891306,0.9451696280803945,2049.0,17.0,,,
18,-0.0017812979899139868,1.7862778634039893,2.5688373181555004,0.907870449953609,1.0472433536003034,2049.0,18.0,,,
19,-0.0359852554069625,4.420416697238882,2.5723386340671115,0.9042790366543664,2.3293555221623845,2049.0,19.0,,,
20,0.017805592467387516,4.062941566417673,2.580412679248386,0.919276495774587,2.2073275124033294,2049.0,20.0,,,
21,-0.06737028780238082,0.36728608450732037,2.572487817870246,0.9217407322592206,0.2748960235880481,2049.0,21.0,,,
22,0.05570880424541732,1.4582218313848392,2.5822847617997065,0.9070298737949796,0.9404028529922167,2049.0,22.0,,,
23,0.018988211147694126,0.15599602676229551,2.587965773211585,0.8976806518104341,0.2506427026043336,2049.0,23.0,,,
24,-0.03441036290799578,1.0965102987732582,2.595056474208832,0.9150229278537962,0.670898811891675,2049.0,24.0,,,
25,-0.02935630490537733,0.41924100097255884,2.5957784122890897,0.936142184668117,0.3415348509119617,2049.0,25.0,,,
26,-0.004922561321614517,2.9508749461577586,2.598824997742971,0.9043170031574037,1.6253900631434388,2049.0,26.0,,,
27,0.022047201585438516,1.878639034797541,2.5935190187560186,0.914699912071228,1.1183715015649796,2049.0,27.0,,,
28,-0.0040481124435447985,0.21175581240822794,2.5867172016037836,0.9178931150171492,0.25954124455650646,2049.0,28.0,,,
29,-0.0916138851057945,1.5994164004611473,2.5892721944385104,0.9383368310001161,0.86986897016565,2049.0,29.0,,,
30,0.028986925466193095,0.14440497379594794,2.5855376521746316,0.9049309111303754,0.2563202265236113,2049.0,30.0,,,
31,-0.01583897876035836,2.423138775581416,2.6009599102867975,0.9271135578552882,1.3551435133235321,2049.0,31.0,,,
32,0.007389632661619948,0.4177233829565618,2.6053185396724277,0.9005577282773124,0.370309691876173,2049.0,32.0,,,
33,-0.0778997858417117,0.8294576099066135,2.6146949463420444,0.9307924558719,0.49684057012200356,2049.0,33.0,,,
34,-0.024292960879392922,0.5784036575850627,2.617527723312378,0.9143846349583732,0.4216105230152607,2049.0,34.0,,,
35,-0.01688253721739683,1.269008038824217,2.622569183508555,0.9156129012505213,0.7745183826320701,2049.0,35.0,,,
36,-0.019159535321200058,3.2694209137310586,2.619576268725925,0.9323697487513224,1.7758291111224227,2049.0,36.0,,,
37,0.002719470558481084,0.10201221081014308,2.610981431272295,0.9267628474367989,0.21296833579738936,2049.0,37.0,,,
38,0.005902638206154936,0.7693739787808025,2.6071806020206876,0.9006856828927994,0.5446549600197209,2049.0,38.0,,,
39,0.0628101562615484,0.12306565752240001,2.6057343747880726,0.9287095483806398,0.2840275511973434,2049.0,39.0,,,
40,0.01418283129007452,2.06285853054659,2.6083469920688205,0.9436395648452971,1.2082565399921603,2049.0,40.0,,,
41,0.03379907347779307,1.2555569665920403,2.610318945513831,0.9238238268428378,0.8202391328910986,2049.0,41.0,,,
42,0.0017663618653184837,1.2984750094635982,2.614078594578637,0.9139517976178063,0.8076534411973424,2049.0,42.0,,,
43,0.10551560359696548,0.7434535597527151,2.6000635226567588,0.9173178888029523,0.6347053224841753,2049.0,43.0,,,
44,-0.012082772982668959,1.918472870835103,2.608256333404117,0.933869277437528,1.107844959737526,2049.0,44.0,,,
45,-0.05080512613575491,0.2187258022847042,2.5914935337172613,0.9289991342359118,0.21844267141487864,2049.0,45.0,,,
46,-0.03484575834590942,0.21620427827454275,2.624173972341749,0.9567352086305618,0.23836168605420324,2049.0,46.0,,,
47,0.020571813996260364,4.016194465984073,2.599623057577345,0.9325096044275496,2.1891747576495013,2049.0,47.0,,,
48,-0.08953222332315312,0.1034252166799787,2.597225030263265,0.9454729225900438,0.1253027239193519,2049.0,48.0,,,
49,-0.13044938943090123,2.5208740329576864,2.606511798169878,0.9322204639514288,1.2903666144443884,2049.0,49.0,,,
