update,policy_loss,value_loss,entropy,imitation_loss,total_loss,batch_size,update_count
1,0.0019466860976535827,10.324132829904556,2.528410814702511,0.9088067915290594,5.320490345358849,2048.0,1.0
2,0.002032859076280147,6.7984578013420105,2.5226784497499466,0.8886249251663685,3.5537599697709084,2048.0,2.0
3,0.0036944309540558606,5.444347895681858,2.514524146914482,0.8921033013612032,2.879143785685301,2048.0,3.0
4,0.004339509061537683,2.652132697403431,2.5330993086099625,0.9145013634115458,1.4879751335829496,2048.0,4.0
5,0.0006618926709052175,1.6465287990868092,2.5276200398802757,0.8892459571361542,0.9764992874115705,2048.0,5.0
6,0.002371500406297855,3.003865212202072,2.53326952457428,0.8895731698721647,1.6568860411643982,2048.0,6.0
7,0.0015680076030548662,4.851272702217102,2.5340149626135826,0.8845095168799162,2.5787661150097847,2048.0,7.0
8,0.001225555781275034,2.9053103178739548,2.524476557970047,0.8879595715552568,1.6062278747558594,2048.0,8.0
9,0.0020311192783992738,2.5577504336833954,2.5391797572374344,0.9305886290967464,1.4416322521865368,2048.0,9.0
10,0.0008854179613990709,3.48839320987463,2.5442574247717857,0.9190447479486465,1.9034483954310417,2048.0,10.0
11,-1.528079155832529e-05,12.735863491892815,2.5503859370946884,0.924096442759037,6.527231827378273,2048.0,11.0
12,-0.0004830295220017433,6.0963390320539474,2.548658363521099,0.8959275186061859,3.201385349035263,2048.0,12.0
13,0.0011580693353607785,3.682307608425617,2.5497891008853912,0.9202691428363323,2.0008678026497364,2048.0,13.0
14,-0.0028465464420150965,2.1580765768885612,2.5420446693897247,0.8871229309588671,1.2281958907842636,2048.0,14.0
15,0.0021755953930551186,4.811012446880341,2.5464008525013924,0.919043431058526,2.566026482731104,2048.0,15.0
16,0.005996246938593686,2.142528872936964,2.5498656034469604,0.8938502985984087,1.2305320780724287,2048.0,16.0
17,0.000139870768180117,3.201066840440035,2.5553657487034798,0.9019122440367937,1.7555020470172167,2048.0,17.0
18,-0.0008963326690718532,6.087044909596443,2.5507844164967537,0.9053041245788336,3.1981791108846664,2048.0,18.0
19,-0.002493147607310675,7.492377877235413,2.551448740065098,0.9103691186755896,3.9002550914883614,2048.0,19.0
20,-0.0007450329867424443,5.010471381247044,2.5573910251259804,0.9111547879874706,2.661147702485323,2048.0,20.0
21,0.002623635678901337,6.2433405965566635,2.5569427385926247,0.9160685203969479,3.2819381952285767,2048.0,21.0
22,0.005922585172811523,5.718138195574284,2.545610822737217,0.9012017827481031,3.019775938242674,2048.0,22.0
23,0.002421477202005917,3.4814920276403427,2.555577151477337,0.8967856578528881,1.896968849003315,2048.0,23.0
24,0.0009275365155190229,3.6790169179439545,2.55693369358778,0.9063021745532751,1.996127087622881,2048.0,24.0
25,0.0007541131635662168,11.431536301970482,2.5678404346108437,0.9366659726947546,5.878177024424076,2048.0,25.0
26,0.00579916471906472,3.831913258880377,2.563242442905903,0.9257704745978117,2.0812774635851383,2048.0,26.0
27,0.0009933789260685444,5.517367601394653,2.559107542037964,0.9024566318839788,2.9145774617791176,2048.0,27.0
28,0.0023326049267780036,5.237418919801712,2.556200236082077,0.923125870525837,2.7801052667200565,2048.0,28.0
29,0.0039969531644601375,3.9450883120298386,2.5520458295941353,0.9600220173597336,2.1430250518023968,2048.0,29.0
30,0.004750485619297251,5.065902940928936,2.555705949664116,0.9178799018263817,2.695720888674259,2048.0,30.0
31,0.014549919287674129,8.4480592161417,2.565357930958271,0.9499845057725906,4.402922824025154,2048.0,31.0
32,0.001800359328626655,5.272245563566685,2.5663467720150948,0.9294905960559845,2.798157785087824,2048.0,32.0
33,-0.001052597421221435,3.1889451444149017,2.5621925815939903,0.9226913247257471,1.75233631208539,2048.0,33.0
34,-0.0011230351083213463,1.1622213758528233,2.5642828196287155,0.9522526450455189,0.7447953633964062,2048.0,34.0
35,-0.002162347111152485,2.730312090367079,2.570926859974861,0.9240089729428291,1.5220862291753292,2048.0,35.0
36,0.0007399878959404305,1.3450431115925312,2.5766035616397858,0.9258134979754686,0.8326582126319408,2048.0,36.0
37,0.0017358914628857747,2.0855636410415173,2.5893130972981453,0.9092584419995546,1.2004762664437294,2048.0,37.0
38,9.850692003965378e-05,1.5069011468440294,2.5927492305636406,0.9223937261849642,0.9121003374457359,2048.0,38.0
39,0.004172244749497622,2.5876952446997166,2.5929709672927856,0.9173187706619501,1.4555539153516293,2048.0,39.0
40,-0.0016042417992139235,2.658197958022356,2.5882335528731346,0.9120143093168736,1.4840152729302645,2048.0,40.0
41,-0.0009230463620042428,2.331584397703409,2.5793547928333282,0.9139307327568531,1.321861730888486,2048.0,41.0
42,0.00036590296076610684,2.8018173798918724,2.579132854938507,0.9401863422244787,1.5635205172002316,2048.0,42.0
43,0.00122149009257555,4.65312547236681,2.5833461806178093,0.9186866283416748,2.4856880977749825,2048.0,43.0
44,0.00028446895885281265,3.3985159546136856,2.5866584479808807,0.9135236907750368,1.8563805744051933,2048.0,44.0
45,-0.0007291793881449848,6.112456500530243,2.5844609513878822,0.9408955108374357,3.217833586037159,2048.0,45.0
46,0.0007345563208218664,10.366246670484543,2.572868213057518,0.943499781191349,5.346829183399677,2048.0,46.0
47,0.004981653124559671,8.24810416996479,2.5858740732073784,0.9250417556613684,4.288183346390724,2048.0,47.0
48,0.0021455723617691547,11.073370039463043,2.590299665927887,0.9258519522845745,5.698098048567772,2048.0,48.0
49,0.002026249232585542,8.82575510442257,2.5939897298812866,0.9310986343771219,4.575183644890785,2048.0,49.0
50,-0.000978456751909107,6.914041310548782,2.5926525369286537,0.938286904245615,3.617773089557886,2048.0,50.0
51,-0.0005937658715993166,4.483877494931221,2.5952130034565926,0.9403521101921797,2.4034632928669453,2048.0,51.0
52,0.0012614688894245774,9.12705834209919,2.5963494181632996,0.9347313102334738,4.72577341645956,2048.0,52.0
53,0.005116708343848586,6.592985764145851,2.5924208015203476,0.9497296623885632,3.4656313471496105,2048.0,53.0
54,0.00299187473137863,5.116109132766724,2.5941730812191963,0.9166083410382271,2.718426365405321,2048.0,54.0
55,0.00486390916921664,5.6003622636199,2.5954228416085243,0.9330065958201885,2.9656921066343784,2048.0,55.0
56,0.0006335671350825578,2.86947313696146,2.598147928714752,0.9128948114812374,1.5919676143676043,2048.0,56.0
57,-0.000657761367619969,4.058763705193996,2.583192817866802,0.919126333668828,2.186717439442873,2048.0,57.0
58,-0.0010469030094100162,8.953733086585999,2.571812182664871,0.9141115993261337,4.63292384147644,2048.0,58.0
59,-0.002653634059242904,4.519010253250599,2.5842370986938477,0.9314642734825611,2.4173019975423813,2048.0,59.0
60,0.0011862808896694332,2.7371120005846024,2.58882375061512,0.9293848015367985,1.5297309830784798,2048.0,60.0
61,0.0008002343092812225,2.605048667639494,2.5951847806572914,0.9099452346563339,1.459361769258976,2048.0,61.0
62,-0.0015037258272059262,5.272267282009125,2.592750169336796,0.9391710236668587,2.7965366169810295,2048.0,62.0
63,0.0051027417939621955,5.2587234154343605,2.591412864625454,0.9192079622298479,2.792391885071993,2048.0,63.0
64,-0.00024390652833972126,5.2693213522434235,2.607494629919529,0.910196878015995,2.7903812006115913,2048.0,64.0
65,0.0009132099512498826,5.200940392911434,2.6026123762130737,0.9684045575559139,2.7690381929278374,2048.0,65.0
66,0.0007857742166379467,5.499332025647163,2.6091771870851517,0.9416545405983925,2.912690941244364,2048.0,66.0
67,0.009259307917091064,8.71682621538639,2.6108547300100327,0.9507678672671318,4.531717486679554,2048.0,67.0
68,0.008239053800934926,10.989670097827911,2.608457922935486,0.9404947739094496,5.665088474750519,2048.0,68.0
69,0.0030432036437559873,4.075754284858704,2.6107282787561417,0.9732553791254759,2.2094641514122486,2048.0,69.0
